name,run_id,created_at,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_fixed_effect_residual_rmse,fixed_effect_type,feature_dimension,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,epochs_trained,model.params.dropout
npboost-in_context-steps_2D-seed0,pw43djrh,2026-07-20T09:26:18Z,npboost,in_context,0,rmse,0.5201283854166666,0.918005952522302,0.5144716796875,0.909692935959123,5603.979221582413,2.704393148422241,2.85198974609375,1.3711418643198612,steps,2,266.0,,,,,,,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,qji4q5w6,2026-07-20T14:42:26Z,npboost,in_context,0,rmse,0.5410985026041667,0.9502615575780292,0.5350259765625,0.9423121566090458,2670.574048042298,2.3041367530822754,2.354207754135132,1.6307316222829624,steps,2,111.0,,,,,,,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,qqf8iq4f,2026-07-21T00:30:13Z,npboost,in_context,0,rmse,0.5660229166666667,0.993268039778138,0.56343984375,0.990435619177488,1300.447101354599,2.853001117706299,2.7201435565948486,1.5407994868343622,steps,2,40.0,,,,,,,0.0,0.0003583387974072,20.0,0.0166876416291958,0.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,t2uj1sq8,2026-07-20T15:54:19Z,npboost,in_context,0,rmse,0.5780259114583334,1.0233453291351182,0.5787955078125,1.0251442633982588,951.1750407218932,2.784203290939331,3.169441699981689,1.970524435761834,steps,2,50.0,,,,,,,0.2,0.0001053621921034,10.0,0.2534741961949762,1.0,1000.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,v0z62nok,2026-07-20T23:31:20Z,npboost,in_context,0,rmse,0.5190901041666667,0.9179516624310954,0.5216749348958334,0.9228050608487084,3506.2142250537872,2.404404401779175,2.064701795578003,1.2445865509518672,steps,2,156.0,,,,,,,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,vuse93i0,2026-07-20T19:57:30Z,npboost,in_context,0,rmse,0.52720673828125,0.9330469654493232,0.5254895182291667,0.9298627676040844,3758.8333134651184,2.6581695079803467,2.6983468532562256,1.4671474649146183,steps,2,170.0,,,,,,,0.0,1.5905817778820346e-05,20.0,0.0138796110793157,1.0,20.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,w167u59f,2026-07-20T17:17:07Z,npboost,in_context,0,rmse,0.5516965494791667,0.9761893824660792,0.548635546875,0.9718020201173276,2206.2373292446136,2.4463844299316406,2.4031870365142822,2.0617102492869708,steps,2,161.0,,,,,,,0.2,0.0001077955162095,10.0,0.0754992854618303,0.0,10.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,x7emqag7,2026-07-20T13:19:51Z,npboost,in_context,0,rmse,0.5337529296875,0.9365659358827432,0.5310145182291667,0.9345196109796317,2300.5163300037384,2.548539400100708,2.542583703994751,1.4328186153840805,steps,2,95.0,,,,,,,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,xbi03com,2026-07-20T08:14:32Z,npboost,in_context,0,rmse,0.5603388671875,0.9896419839657002,0.5620809895833333,0.9919382885021396,799.8489646911621,1.7923791408538818,1.8970189094543457,1.468537234813178,steps,2,39.0,,,,,,,0.0,0.0008692991511139,10.0,0.1569639638866114,0.0,1000.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,1910uy79,2026-07-22T00:59:28Z,npboost,in_context,1,rmse,0.5201216145833333,0.916419339452372,0.5216192057291666,0.9173187277736152,5266.482486486435,6.099290132522583,5.659516334533691,1.280711007132385,steps,2,115.0,,,,,,,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,1e2j1385,2026-07-22T12:19:12Z,npboost,in_context,1,rmse,0.5313335286458334,0.9401667178544312,0.5367762369791667,0.9453065528278992,4480.8521382808685,8.297919750213623,7.9687182903289795,1.5871270172671474,steps,2,76.0,,,,,,,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,1u9zlr50,2026-07-23T12:03:32Z,npboost,in_context,1,rmse,0.5591505208333334,0.9860642079581806,0.563994140625,0.992657358221833,1888.6390733718872,6.285494804382324,5.8800950050354,1.5321517758618932,steps,2,96.0,,,,,,,0.0,0.0008887704677237,5.0,0.0415963508411869,0.0,1000.0,4.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,1uh9i1mt,2026-07-22T17:54:52Z,npboost,in_context,1,rmse,0.5365397135416666,0.9528000999889464,0.5430828125,0.9620864830111522,4617.066507577896,6.660674095153809,7.446867942810059,1.8360275798490089,steps,2,149.0,,,,,,,0.2,0.0002091196066971,10.0,0.1284423092280945,0.0,100.0,4.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,225zykas,2026-07-21T22:33:23Z,npboost,in_context,1,rmse,0.53913564453125,0.956916990970103,0.5455216796875,0.9656787500949442,3600.4063036441803,6.513177394866943,8.068668127059937,2.1247628637539724,steps,2,169.0,,,,,,,0.2,0.0008536189862866,5.0,0.2335963502626159,0.0,100.0,4.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,31l8xwm8,2026-07-21T20:05:31Z,npboost,in_context,1,rmse,0.5423454752604167,0.9639742060683796,0.5506737630208334,0.9761289919869174,3698.7570481300354,6.639189720153809,6.561880111694336,1.544782123129691,steps,2,195.0,,,,,,,0.2,0.0002910635913133,5.0,0.0130667392380532,0.0,100.0,4.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,4f5k5kix,2026-07-22T02:27:46Z,npboost,in_context,1,rmse,0.5117017903645833,0.9088788199540542,0.5131381510416667,0.9085792630549928,8469.591307878494,5.00972580909729,5.293524503707886,1.3558503968732185,steps,2,209.0,,,,,,,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,5ayw6lfy,2026-07-22T15:01:24Z,npboost,in_context,1,rmse,0.5806703125,1.0287208759577524,0.5824975260416667,1.030521086555271,5583.593183040619,7.898984670639038,7.27159857749939,1.4182827759695051,steps,2,184.0,,,,,,,0.2,1.1508017135300922e-05,10.0,0.0179523383684912,1.0,20.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,5ov8ckrf,2026-07-22T05:37:40Z,npboost,in_context,1,rmse,0.5931708333333333,1.049488771273671,0.5996986328125,1.060033882700191,1260.797129392624,6.450394153594971,6.23384165763855,1.6880353017367835,steps,2,10.0,,,,,,,0.2,6.83631406502272e-05,20.0,0.768810680147495,1.0,100.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,7y28n51h,2026-07-22T11:38:57Z,npboost,in_context,1,rmse,0.543401953125,0.9480651928944632,0.5478795572916667,0.9533945141350684,2377.758026123047,7.915312528610229,7.19146466255188,1.4893218895005744,steps,2,59.0,,,,,,,0.0,0.0008831228248242,10.0,0.3887072196612053,1.0,100.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,cefq30xe,2026-07-21T23:34:00Z,npboost,in_context,1,rmse,0.5523568359375,0.9679875835065128,0.556114453125,0.9718547894954122,2036.4842250347133,6.646696329116821,7.380469560623169,1.4154451865825968,steps,2,54.0,,,,,,,0.0,0.0008692991511139,10.0,0.1569639638866114,0.0,1000.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,dpd8ytdf,2026-07-22T19:52:19Z,npboost,in_context,1,rmse,0.541257421875,0.9584931906413736,0.5439930989583334,0.9615294738504484,7898.730367422104,7.00755763053894,7.870002746582031,1.3488834297719798,steps,2,396.0,,,,,,,0.0,1.3840044764106206e-05,5.0,0.7593823221110972,0.0,1000.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,dx88bhh1,2026-07-22T13:34:30Z,npboost,in_context,1,rmse,0.5462131510416667,0.9649880034018454,0.5464748046875,0.9654651782525506,3328.097138404846,8.020646095275879,7.086548328399658,1.5189564361807792,steps,2,51.0,,,,,,,0.0,0.0001380773171791,20.0,0.0190619809185539,1.0,10.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,eb9smj08,2026-07-23T00:35:36Z,npboost,in_context,1,rmse,0.5985235677083334,1.0604654531804885,0.6035831380208333,1.067075074129258,1223.1255419254303,6.589417219161987,6.024503469467163,1.4336677646257527,steps,2,10.0,,,,,,,0.2,3.6649592076212935e-05,20.0,0.9572167377160832,0.0,100.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,empiw7yv,2026-07-23T08:56:23Z,npboost,in_context,1,rmse,0.5267405598958333,0.933573920883988,0.5334298177083333,0.9429683158692802,11122.16190814972,4.8612096309661865,5.491538047790527,1.590566424065732,steps,2,299.0,,,,,,,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,ezm1tjza,2026-07-23T00:56:33Z,npboost,in_context,1,rmse,0.5296756510416667,0.9390748393493648,0.5319814778645834,0.940890957798768,8340.513962507248,6.60275411605835,5.679790496826172,1.8078544130745229,steps,2,209.0,,,,,,,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,fsm69nnm,2026-07-23T06:47:01Z,npboost,in_context,1,rmse,0.559954296875,0.98643688428776,0.56411328125,0.9896632847542864,2160.806375265121,6.605934381484985,5.46582293510437,1.534388028229027,steps,2,34.0,,,,,,,0.0,0.0003583387974072,20.0,0.0166876416291958,0.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,g0ptxs3e,2026-07-23T07:23:34Z,npboost,in_context,1,rmse,0.5402536458333334,0.952088206627276,0.5397072265625,0.9516070224603224,5533.721847295761,6.865778684616089,6.890871286392212,1.5232342252265596,steps,2,126.0,,,,,,,0.0,3.7275559646016336e-05,20.0,0.0105756957788887,0.0,100.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,gqho7pfl,2026-07-22T00:08:32Z,npboost,in_context,1,rmse,0.5801123046875,1.027710585473622,0.5887553385416666,1.0410086351500254,3015.0517344474792,7.257807731628418,7.382640361785889,2.1779177920314066,steps,2,49.0,,,,,,,0.2,1.913588048769229e-05,20.0,0.3503398491158687,0.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,iejbgip9,2026-07-21T21:08:19Z,npboost,in_context,1,rmse,0.5435608723958333,0.9646828848655112,0.5471658203125,0.9687410467838444,5067.35901260376,7.162555694580078,6.364100456237793,1.6369149193863992,steps,2,184.0,,,,,,,0.2,7.309539835912905e-05,10.0,0.0383962929980417,1.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,jwphp892,2026-07-22T09:55:31Z,npboost,in_context,1,rmse,0.529034375,0.9342823335916476,0.5324736653645833,0.938502215365054,4543.573801994324,8.252766132354736,7.849103689193726,1.3525124143733973,steps,2,77.0,,,,,,,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,lrlogq9o,2026-07-23T04:49:08Z,npboost,in_context,1,rmse,0.5191056640625,0.9183742039506824,0.5209736328125,0.9204726182100188,7039.199918985367,6.966490983963013,5.882254362106323,1.3226420181304213,steps,2,166.0,,,,,,,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,lxtp156x,2026-07-22T06:56:30Z,npboost,in_context,1,rmse,0.5296854166666667,0.9380665181383684,0.5332067057291666,0.9419124270636074,8115.776502132416,8.572481155395508,8.251261234283447,1.68472239651015,steps,2,190.0,,,,,,,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,nhlis4h5,2026-07-22T11:12:08Z,npboost,in_context,1,rmse,0.5935704427083334,1.050823605038322,0.5977680989583334,1.0571570479397994,1572.7008879184723,6.722249507904053,6.509654521942139,1.9716770411840103,steps,2,54.0,,,,,,,0.2,0.0001251605833757,5.0,0.2656797431288616,1.0,100.0,4.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,p6ml56iw,2026-07-22T14:30:35Z,npboost,in_context,1,rmse,0.5776240885416667,1.0220632806178924,0.5818376302083333,1.0286662363629533,1812.1746826171875,8.120425462722778,6.578790664672852,1.912323634354541,steps,2,40.0,,,,,,,0.2,0.0001053621921034,10.0,0.2534741961949762,1.0,1000.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed1,pg38fi9g,2026-07-22T09:12:25Z,npboost,in_context,1,rmse,0.5500559895833333,0.9567907135378784,0.5543675130208333,0.962287817898658,2548.265193462372,7.015378713607788,7.829385042190552,1.3869905234514563,steps,2,67.0,,,,,,,0.0,0.0007472397689332,10.0,0.7069476197217992,0.0,20.0,16.0,255.0,-1.0,,
