name,run_id,created_at,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_fixed_effect_residual_rmse,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,epochs_trained,model.params.dropout
npboost-in_context-protein-seed0,cs03x427,2026-07-21T10:33:49Z,npboost,in_context,0,rmse,0.2071090060244038,0.2586560374761678,0.2042966171424148,0.2517447853551324,442.1110031604767,0.3346269130706787,0.3325052261352539,4.100751213509189,140.0,,,,,,,0.2,5.4597054376998136e-05,10.0,0.1053508308667582,0.0,20.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed0,f9rdu08o,2026-07-21T11:14:31Z,npboost,in_context,0,rmse,0.2535174167114683,0.2573894839739949,0.2522878081956392,0.2549732179584044,258.1722071170807,0.3511672019958496,0.330549955368042,3.3007824105549783,32.0,,,,,,,0.0,1.702035422361917e-05,20.0,0.0657821692431908,1.0,20.0,16.0,255.0,-1.0,,
npboost-in_context-protein-seed0,faitpu22,2026-07-21T08:28:06Z,npboost,in_context,0,rmse,0.3462022123436479,0.3015354766065827,0.3466194099665519,0.3034306725645945,60.99262976646423,0.3276796340942383,0.3374998569488525,2.901766069153761,10.0,,,,,,,0.2,1.343677338411072e-05,5.0,0.1113002415673063,1.0,10.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed0,fdqv3w6f,2026-07-21T11:20:44Z,npboost,in_context,0,rmse,0.2610519754762018,0.2683939127438178,0.2598386226215429,0.2646341095378989,91.52317070961,0.3032295703887939,0.2929379940032959,1.950657339605841,30.0,,,,,,,0.0,3.9184339457363744e-05,5.0,0.7978205565731539,1.0,100.0,16.0,255.0,-1.0,,
npboost-in_context-protein-seed0,g5uk4hbc,2026-07-21T09:45:38Z,npboost,in_context,0,rmse,0.1243255960816705,0.2246689948000892,0.1207052556479849,0.2188655469548715,2035.0092186927795,0.320164680480957,0.3198599815368652,3.503592612151456,259.0,,,,,,,0.2,0.0002371245680478,10.0,0.0322020325894309,1.0,100.0,16.0,255.0,-1.0,,
npboost-in_context-protein-seed0,gup486mu,2026-07-21T10:54:59Z,npboost,in_context,0,rmse,0.218275502168343,0.261694800511457,0.2171466309019082,0.2598864257842349,204.2778685092926,0.334954023361206,0.331122875213623,3.6845231662676463,98.0,,,,,,,0.2,0.0001181285816262,5.0,0.0610030224551816,0.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed0,hc1wp824,2026-07-21T10:43:53Z,npboost,in_context,0,rmse,0.2570979885938691,0.2661818713540904,0.2558005063791308,0.2627783366903666,268.7943832874298,0.3481793403625488,0.3353304862976074,2.870005560581887,36.0,,,,,,,0.0,1.2904721633073898e-05,20.0,0.2325748079967941,0.0,100.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed0,hdnon96i,2026-07-21T08:26:47Z,npboost,in_context,0,rmse,0.2641830710168499,0.2896567921553628,0.2651096304119256,0.2955068671870561,73.47936820983887,0.3560776710510254,0.3490548133850097,3.60371284670376,2.0,,,,,,,0.2,0.0004385170256085,10.0,0.8972612866432508,1.0,20.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed0,i3csrk1l,2026-07-21T09:09:14Z,npboost,in_context,0,rmse,0.1210731878513243,0.2104269023867653,0.1214057842613512,0.2120210922390381,456.9175410270691,0.3428380489349365,0.3107626438140869,3.4350091568541945,159.0,,,,,,,0.0,0.0002780425090632,10.0,0.0105542692281163,1.0,20.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed0,jilibxcm,2026-07-21T10:19:51Z,npboost,in_context,0,rmse,0.1453477281311248,0.2151318109582735,0.1438215036425441,0.2139890475734809,570.2957079410553,0.3322834968566894,0.330547571182251,3.327530433631765,201.0,,,,,,,0.0,0.0001083323625032,10.0,0.1351582698334605,0.0,100.0,8.0,255.0,-1.0,,
