model_name,fixed_effect_type,feature_dimension,task_name,test_rmse_mean,test_rmse_std,test_rmse_n,test_crps_mean,test_crps_std,test_crps_n,test_rmse_se,test_crps_se
gplinear,steps,1,few_shot,0.8735795649392217,0.019357869933869017,5,0.47602814474252203,0.008038932320204261,5,0.008657102614346095,0.0035951198268993666
gplinear,steps,2,in_context,1.076586136633431,0.010727028753375657,5,0.5982497541528154,0.005740518390488245,5,0.004797273097828559,0.0025672378694438793
gplinear,steps,2,few_shot,1.3032211710484354,0.017848042008822673,5,0.7177722163304032,0.0077267868435915025,5,0.00798188703939988,0.003455524125984327
lme,steps,1,in_context,1.1780856913851636,0.01192352073807138,5,0.701788409894939,0.005962189748106829,5,0.005332360580291214,0.002666372314303843
lme,steps,1,few_shot,1.1992708738235125,0.023652639609070148,5,0.7134539903074394,0.010810442282205696,5,0.01057778200263698,0.00483457676196998
lme,steps,2,in_context,1.5845401270533328,0.0070684312634924015,5,0.9300560854196899,0.0047190527495985825,5,0.0031610985598907473,0.0021104245475019445
lme,steps,2,few_shot,1.6300602991363686,0.02132738064124581,5,0.9541526786935026,0.01135400563923761,5,0.009537894579167736,0.005077665685250249
tabicl_taskwise,steps,1,in_context,0.7243955223321981,0.005239207903680918,5,0.4042445830495831,0.0023803934091848646,5,0.0023430450041769407,0.0010645442952259658
tabicl_taskwise,steps,1,few_shot,0.9109001713128693,0.014239887310934977,5,0.5135269501238617,0.008217694701795652,5,0.006368271203837458,0.003675064794310988
tabicl_taskwise,steps,2,in_context,1.1460862162342131,0.007633090973632124,5,0.6455922136274591,0.004409493647658709,5,0.0034136220590962967,0.001971985508503676
tabicl_taskwise,steps,2,few_shot,1.465136372438784,0.023959026332281447,5,0.8264843860794124,0.010875695114701071,5,0.010714802310737756,0.004863758715806793
tabicl_pooled,steps,1,in_context,1.43499088666437,0.02124401516239593,5,0.7729799381929413,0.01744214028080359,5,0.009500612403630707,0.0078003622681928194
tabicl_pooled,steps,1,few_shot,1.5348848015805212,0.041784620771065414,5,0.8399041883354197,0.020827316436821983,5,0.01868665049163039,0.009314259068326532
tabicl_pooled,steps,2,in_context,2.020058316183363,0.026075473941600934,5,1.0364157463437276,0.00992519969255367,5,0.011661306455788814,0.0044386842405620035
tabicl_pooled,steps,2,few_shot,2.0407913940720115,0.06509826564939718,5,1.0526516913405468,0.036536370788760125,5,0.029112829441878315,0.016339561746961048
