model_name,fixed_effect_type,feature_dimension,task_name,test_rmse_mean,test_rmse_std,test_rmse_n,test_crps_mean,test_crps_std,test_crps_n,test_rmse_se,test_crps_se
anp,zero,1,in_context,0.5663107137284111,0.0036527891135554463,5,0.3204225325520833,0.0021955190792487876,5,0.0016335769530762352,0.0009818659814196074
anp,zero,1,few_shot,0.6395759314539664,0.016470835159943333,5,0.36018649902343747,0.008964374998258279,5,0.007365981412765382,0.004008990374381014
anp,zero,2,in_context,0.8310345577837172,0.005933681425279359,5,0.46707298828124993,0.0041455562798276575,5,0.0026536230047504972,0.0018539491292491564
anp,zero,2,few_shot,0.9500465589087904,0.015002682668243221,5,0.5328036743164063,0.009185756388713651,5,0.006709403658209953,0.0041079951419833415
gbm_group_cat,zero,1,in_context,0.5790827697827567,0.004657599764807047,5,,,0,0.002082941937219118,
gbm_group_cat,zero,1,few_shot,1.1124511550400968,0.04159541349203684,5,,,0,0.018602034424081256,
gbm_group_cat,zero,2,in_context,0.9271020092168033,0.007773056246464722,5,,,0,0.0034762164320048957,
gbm_group_cat,zero,2,few_shot,1.1151490920998721,0.020318126675993205,5,,,0,0.009086542484594529,
gbm_no_group,zero,1,in_context,1.1144763038841001,0.009543569247114962,5,,,0,0.0042680139169051085,
gbm_no_group,zero,1,few_shot,1.1119614061930019,0.04270010826395494,5,,,0,0.019096068944960756,
gbm_no_group,zero,2,in_context,1.1190818325468723,0.006100702189485827,5,,,0,0.002728316961234422,
gbm_no_group,zero,2,few_shot,1.1155221953397758,0.02032332568441463,5,,,0,0.00908886755184371,
gplinear,zero,1,in_context,0.5471940320032134,0.0028061654902038634,5,0.3085817218878885,0.0015003422115927555,5,0.0012549553584419717,0.0006709734349267548
gplinear,zero,1,few_shot,0.6071538443787345,0.007872209609027238,5,0.34092417768350686,0.004023668498082119,5,0.003520559163782389,0.00179943925612722
gplinear,zero,2,in_context,0.7486624616953471,0.0034576884067569597,5,0.41679919715154146,0.002070971669364036,5,0.001546325264504301,0.0009261666864348406
gplinear,zero,2,few_shot,0.9077557294782043,0.015198375859791596,5,0.5046124507068134,0.0089504390012951,5,0.0067969203140171635,0.004002758007072235
lme,zero,1,in_context,0.884087942701516,0.009376367712384082,5,0.5074402486079478,0.0050496143963096665,5,0.004193239117385001,0.0022582562100619953
lme,zero,1,few_shot,0.9082501151641834,0.034125963290084015,5,0.5200683330101824,0.016294075285532977,5,0.015261594742858046,0.007286931993790206
lme,zero,2,in_context,1.0490730549760507,0.007024780491355744,5,0.5924737507440796,0.004232953482493189,5,0.0031415773411371632,0.0018930343464898473
lme,zero,2,few_shot,1.0625707692279438,0.014943529105867603,5,0.60067649584086,0.008909661281746464,5,0.006682949380893323,0.0039845216564966
tabicl_taskwise,zero,1,in_context,0.5741883255556546,0.0032282691018365476,5,0.33230336836479746,0.0023682937470431748,5,0.0014437258322737422,0.001059133161815246
tabicl_taskwise,zero,1,few_shot,0.6751946229197385,0.01478261798457951,5,0.40187018744514036,0.006259578234691343,5,0.006610987739786144,0.0027993684886495947
tabicl_taskwise,zero,2,in_context,0.8733972565730641,0.005498030606588402,5,0.4974615600942528,0.0031830844024231184,5,0.002458794035741214,0.0014235186203874776
tabicl_taskwise,zero,2,few_shot,1.0163552180732094,0.01524724237955151,5,0.5889616380092086,0.010409408707001017,5,0.006818774086018564,0.004655229094886493
tabicl_pooled,zero,1,in_context,0.7764108326512057,0.09767055493104625,5,0.4219303800489257,0.05497131088718361,5,0.04367960004518934,0.02458391759120336
tabicl_pooled,zero,1,few_shot,0.8667772480660509,0.1103259961904706,5,0.47383827186920546,0.06167286004908714,5,0.04933928543345501,0.027580941487317972
tabicl_pooled,zero,2,in_context,1.1033038540305626,0.02335572176888429,5,0.6214737702504186,0.014964565540929241,5,0.01044499630775938,0.006692357160653739
tabicl_pooled,zero,2,few_shot,1.1330192693955576,0.015618992475268288,5,0.6407904156329829,0.008340300609901744,5,0.0069850257829515185,0.0037298958233046506
