name,run_id,created_at,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_fixed_effect_residual_rmse,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,epochs_trained,model.params.dropout,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
npboost-in_context-log_count-seed0,74o2b7cj,2026-07-20T12:20:17Z,npboost,in_context,0,rmse,0.1139969483215101,0.2529731655146588,0.1238152269266954,0.2851049634345734,855.2767786979675,0.7349412441253662,0.7568328380584717,6.194034123743074,175.0,0.0,0.0002507518284371,10.0,0.0302023368339538,1.0,10.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,8x286no2,2026-07-20T09:34:31Z,npboost,in_context,0,rmse,0.1175699077391669,0.2673769242510887,0.1223361894403829,0.2830913952594521,452.374938249588,0.8714778423309326,0.879462718963623,6.422184564952775,78.0,0.0,0.0004242243954166,10.0,0.5800570688908553,1.0,20.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,8ype89nb,2026-07-20T11:31:26Z,npboost,in_context,0,rmse,0.1871034384675197,0.2892769591520082,0.1886184352444791,0.2934803997554415,662.8954720497131,0.839270830154419,0.7782378196716309,4.447682624679438,129.0,0.0,1.8406671834517417e-05,10.0,0.3476654204795515,0.0,20.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,9rrh4ck0,2026-07-20T12:34:40Z,npboost,in_context,0,rmse,0.1158831171367479,0.2780092294790864,0.1240649650926175,0.3019290850471343,663.8409535884857,0.9048714637756348,0.9222359657287598,6.180144968955049,126.0,0.2,0.0004276097878757,10.0,0.0133482983182945,0.0,100.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,fl5odfk3,2026-07-20T11:21:48Z,npboost,in_context,0,rmse,0.149682108869174,0.2979349667232491,0.1560886511279865,0.3190310241951917,569.948005437851,0.8245275020599365,0.8100032806396484,6.269593118356885,105.0,0.2,5.4597054376998136e-05,10.0,0.1053508308667582,0.0,20.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,ft674gt8,2026-07-20T12:45:52Z,npboost,in_context,0,rmse,0.1861138364092388,0.3229528719515984,0.182867153098768,0.3075241494821765,1172.025291442871,0.8701412677764893,0.7835230827331543,6.044480136268061,370.0,0.2,1.5820851730418417e-05,5.0,0.0450196136386975,1.0,100.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,gs7rasx7,2026-07-20T10:05:24Z,npboost,in_context,0,rmse,0.1101625316084445,0.2626844848486043,0.1246698677314477,0.3009248420953093,1077.59024310112,0.8768110275268555,0.8831610679626465,6.063391525997209,121.0,0.2,0.0002563473332261,20.0,0.1427109105814198,1.0,1000.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,i5aq1kms,2026-07-20T12:03:11Z,npboost,in_context,0,rmse,0.1290662618237767,0.284973143100122,0.1375245592769918,0.3057329613010753,560.4694216251373,0.8264675140380859,0.8666744232177734,6.2467845373830615,99.0,0.2,0.0001496922341954,10.0,0.0831211929407696,1.0,1000.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,j5z0nmou,2026-07-20T11:42:37Z,npboost,in_context,0,rmse,0.1592867638077763,0.2852113757038989,0.1629056310833965,0.2969947955032054,1225.8579823970797,0.8612244129180908,0.9144713878631592,5.044868633462937,149.0,0.0,1.2904721633073898e-05,20.0,0.2325748079967941,0.0,100.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,l73va1rm,2026-07-20T11:07:15Z,npboost,in_context,0,rmse,0.1706584992841421,0.3212815494676679,0.1681494360159385,0.3130264008606677,864.9039688110352,0.8143513202667236,0.760972261428833,6.080026113817165,272.0,0.2,2.9067203620664195e-05,5.0,0.1823458458254781,0.0,10.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,nuohehcy,2026-07-20T09:42:12Z,npboost,in_context,0,rmse,0.1239484869690157,0.26883999386783,0.1371734013291523,0.3076379799734146,375.6771113872528,0.7825276851654053,0.7848117351531982,6.004476308200852,101.0,0.0,0.0001721990923545,5.0,0.1380161223304589,0.0,1000.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,qers7prm,2026-07-20T07:50:27Z,npboost,in_context,0,rmse,0.1109570201437054,0.2701118550701442,0.1221858752585088,0.3021901245673183,1363.0975787639618,0.7488183975219727,0.9045088291168212,6.08516325597266,160.0,0.2,0.0001605191133358,20.0,0.0750195444362012,1.0,20.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,s4dqaczl,2026-07-20T13:21:54Z,npboost,in_context,0,rmse,0.1474907304704302,0.3203470004390535,0.1479597591948193,0.3265358652543525,487.6144585609436,0.7921924591064453,0.7080514430999756,6.322638959808282,84.0,0.2,0.0001082971516786,10.0,0.2589103504433043,0.0,20.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,sjy1fjni,2026-07-20T09:59:49Z,npboost,in_context,0,rmse,0.1184976573026473,0.2732117376767107,0.1298381954375196,0.3086601173311483,325.94495964050293,0.7912986278533936,0.7881886959075928,6.195936295958591,48.0,0.0,0.0002780425090632,10.0,0.0105542692281163,1.0,20.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,stf6djzf,2026-07-20T08:40:57Z,npboost,in_context,0,rmse,0.1243157456637781,0.2787019237832272,0.1313996057541924,0.2964638787972574,680.3242571353912,0.8137698173522949,0.8074941635131836,6.199247571354025,127.0,0.2,0.0001381635682257,10.0,0.0261669745608544,1.0,20.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed0,tea0e4pf,2026-07-20T10:41:22Z,npboost,in_context,0,rmse,0.1139148710637101,0.2667050518922545,0.1246040284295614,0.2901278105020277,635.139440536499,0.8153748512268066,0.9024550914764404,6.179611820558776,119.0,0.2,0.0002371245680478,10.0,0.0322020325894309,1.0,100.0,16.0,255.0,-1.0,,,,,,,,
