name,run_id,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_rmse_best,validation_rmse_best_epoch,validation_rmse_best_restored,model.params.dropout,model.train_params.learning_rate,validation_fixed_effect_residual_rmse,test_fixed_effect_residual_rmse,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
npboost-in_context-log_price-seed1,gsrqgio1,npboost,in_context,1,rmse,0.1250673521471215,0.2698676156530082,0.1222795037940532,0.2656162592681007,7378.191253662109,10.870306491851808,10.402226448059082,0.2627145692216334,,,,,9.741024265652522,9.715498618302728,0.0,0.0004548624208721,10.0,0.2953847324956156,0.0,20.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,j4vhbmlq,npboost,in_context,1,rmse,0.134103707719583,0.271969188071668,0.1426641191932648,0.2722145123329987,10570.857223272324,10.805184602737429,11.04965043067932,0.2706773386139965,,,,,9.42077753718368,9.418760960235836,0.0,1.5865500409725956e-05,20.0,0.019901994840577,0.0,100.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,j66nm4j6,npboost,in_context,1,rmse,0.1221038500648136,0.2612104229255754,0.1231393138876199,0.264841931541323,9348.90006494522,11.327852964401243,10.302762031555176,0.2597587873448327,,,,,9.602967444949432,9.617189710938929,0.0,0.0001083323625032,10.0,0.1351582698334605,0.0,100.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,jhpy8ufj,npboost,in_context,1,rmse,0.1298729493689506,0.2790336522089445,0.1285466386660866,0.2769580058613311,5387.163998365402,11.126069068908691,11.700406312942505,0.2773692492890807,,,,,9.586329717659533,9.587482348764338,0.2,0.000956484407922,10.0,0.0109977032995056,0.0,100.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,mzlzxy9z,npboost,in_context,1,rmse,0.1249674204613412,0.258531218357524,0.1240552313696344,0.2599530558704221,18666.271138191223,11.306783437728882,11.486393690109251,0.2566533020352954,,,,,7.70248685590712,7.745251845280596,0.0,1.2904721633073898e-05,20.0,0.2325748079967941,0.0,100.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,nzwselek,npboost,in_context,1,rmse,0.2227946565735198,0.400433178660888,0.1815670233560483,0.3020591123185934,6702.31956410408,9.47510266304016,9.928365468978882,0.2991659440136178,,,,,8.809851566168106,8.699611952376522,0.2,1.5820851730418417e-05,5.0,0.0450196136386975,1.0,100.0,16.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,o21fcy56,npboost,in_context,1,rmse,0.1189677957355634,0.2564529631965696,0.1196390287479192,0.2605963249511776,17727.30558681488,11.00301957130432,10.859807014465332,0.2553315268557614,,,,,9.486372881212848,9.485466831359378,0.2,0.0001381635682257,10.0,0.0261669745608544,1.0,20.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,o4zc25ao,npboost,in_context,1,rmse,0.1608632346493243,0.2954632763455925,0.1529575345954227,0.274383191762251,3312.210030794144,8.916862726211548,8.92600679397583,0.273960426622535,,,,,9.733457160463884,9.815888285152788,0.2,0.0001082971516786,10.0,0.2589103504433043,0.0,20.0,16.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,owxdjcmn,npboost,in_context,1,rmse,0.1243432043739527,0.2534065042021383,0.1258649606565777,0.2550474231933153,11456.694553613665,11.069897890090942,10.28253436088562,0.2507182589425593,,,,,6.544270123944374,6.582526828782713,0.0,1.8406671834517417e-05,10.0,0.3476654204795515,0.0,20.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,p0zmdv6t,npboost,in_context,1,rmse,0.1271008836743945,0.27147250226117,0.1290632304093254,0.2749733547831926,4369.95920085907,10.749272108078005,10.292094707489014,0.2709135232372758,,,,,9.607269301124932,9.60508134587781,0.0,0.0002507518284371,10.0,0.0302023368339538,1.0,10.0,8.0,255.0,-1.0,,,,,
